red,parametro_variado,valor_parametro,precision_train,precision_train_std,precision_test,precision_test_std,ecm_test,ecm_test_std
Adaline,alfa,0.001,45.44,25.9301,44.0,28.0059,1.190476,0.599584
Adaline,alfa,0.005,91.614,1.5383,91.046,1.6608,0.247619,0.043643
Adaline,alfa,0.01,96.034,0.3686,95.428,1.8934,0.173333,0.070759
Adaline,alfa,0.05,95.502,0.7357,95.906,1.6722,0.158095,0.063389
Adaline,alfa,0.1,94.806,0.6248,95.332,1.9465,0.144762,0.051464
Adaline,tolerancia,0.001,95.706,0.4584,95.238,0.9525,0.173333,0.028091
Adaline,tolerancia,0.005,96.156,0.7554,93.81,1.0666,0.224762,0.043435
Adaline,tolerancia,0.01,95.912,1.2331,94.858,1.2775,0.198095,0.057695
Adaline,tolerancia,0.05,93.864,1.3737,92.094,1.4919,0.241905,0.059705
Adaline,tolerancia,0.1,92.352,2.1337,92.0,3.1289,0.251429,0.08481
Adaline,sesgo,-1.0,95.952,0.6686,95.622,1.0323,0.171428,0.043121
Adaline,sesgo,-0.5,95.828,0.371,95.144,1.2328,0.184762,0.041294
Adaline,sesgo,0.0,95.584,0.4715,95.906,1.286,0.158095,0.047428
Adaline,sesgo,0.5,95.378,0.4685,96.192,0.6753,0.144762,0.031153
Adaline,sesgo,1.0,95.704,0.4088,95.428,0.9867,0.177143,0.040741
